Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.93 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260114-162858
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.93->0.93, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 184.0) AvgX100: 184.0 |AvgR: 368.3( 368.3)  0 |Ls: 0.0000 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   25 |OrigR: 126.0 ShpR: 374.1 |X:  187.0( 261.0) AvgX100: 193.6 |AvgR: 387.6( 390.0)  3 |Ls: 0.0044 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   26 |OrigR: 116.0 ShpR: 353.6 |X:  178.0( 261.0) AvgX100: 193.0 |AvgR: 386.3( 390.0)  4 |Ls: 0.0045 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   27 |OrigR: 113.0 ShpR: 347.3 |X:  175.0( 261.0) AvgX100: 192.3 |AvgR: 384.9( 390.0)  5 |Ls: 0.0055 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   28 |OrigR: 109.0 ShpR: 337.9 |X:  171.0( 261.0) AvgX100: 191.5 |AvgR: 383.2( 390.0)  6 |Ls: 0.0110 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   29 |OrigR: 117.0 ShpR: 354.2 |X:  178.0( 261.0) AvgX100: 191.1 |AvgR: 382.2( 390.0)  7 |Ls: 0.0108 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   30 |OrigR:  65.0 ShpR: 245.0 |X:  131.0( 261.0) AvgX100: 189.1 |AvgR: 377.6( 390.0)  8 |Ls: 0.0173 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   31 |OrigR:  92.0 ShpR: 303.7 |X:  156.0( 261.0) AvgX100: 188.0 |AvgR: 375.2( 390.0)  9 |Ls: 0.0119 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   32 |OrigR: 115.0 ShpR: 352.0 |X:  177.0( 261.0) AvgX100: 187.7 |AvgR: 374.5( 390.0) 10 |Ls: 0.0273 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   33 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 187.5 |AvgR: 374.3( 390.0) 11 |Ls: 0.0213 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   34 |OrigR: 126.0 ShpR: 376.6 |X:  188.0( 261.0) AvgX100: 187.6 |AvgR: 374.4( 390.0) 12 |Ls: 0.0161 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   35 |OrigR: 119.0 ShpR: 358.9 |X:  180.0( 261.0) AvgX100: 187.3 |AvgR: 373.9( 390.0) 13 |Ls: 0.0179 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   36 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 187.2 |AvgR: 373.8( 390.0) 14 |Ls: 0.0218 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   37 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 187.2 |AvgR: 373.6( 390.0) 15 |Ls: 0.0148 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   38 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 187.1 |AvgR: 373.5( 390.0) 16 |Ls: 0.0243 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   39 |OrigR: 114.0 ShpR: 349.9 |X:  176.0( 261.0) AvgX100: 186.8 |AvgR: 372.9( 390.0) 17 |Ls: 0.0242 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   40 |OrigR: 126.0 ShpR: 373.1 |X:  186.0( 261.0) AvgX100: 186.8 |AvgR: 372.9( 390.0) 18 |Ls: 0.0206 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   41 |OrigR: 196.0 ShpR: 521.6 |X:  260.0( 261.0) AvgX100: 188.6 |AvgR: 376.5( 390.0) 19 |Ls: 0.0277 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   42 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 188.5 |AvgR: 376.3( 390.0) 20 |Ls: 0.0289 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   43 |OrigR:  39.0 ShpR: 190.4 |X:  107.0( 261.0) AvgX100: 186.6 |AvgR: 372.0( 390.0) 21 |Ls: 0.0307 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   44 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 186.5 |AvgR: 372.0( 390.0) 22 |Ls: 0.0293 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   45 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 186.5 |AvgR: 372.0( 390.0) 23 |Ls: 0.0252 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   46 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 186.5 |AvgR: 372.0( 390.0) 24 |Ls: 0.0273 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   47 |OrigR: 126.0 ShpR: 372.6 |X:  186.0( 261.0) AvgX100: 186.5 |AvgR: 372.0( 390.0) 25 |Ls: 0.0272 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   48 |OrigR: 196.0 ShpR: 522.1 |X:  260.0( 261.0) AvgX100: 188.0 |AvgR: 375.1( 390.0) 26 |Ls: 0.0280 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   49 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 188.0 |AvgR: 375.1( 390.0) 27 |Ls: 0.0217 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   50 |OrigR: 122.0 ShpR: 367.7 |X:  184.0( 261.0) AvgX100: 187.9 |AvgR: 374.9( 390.0) 28 |Ls: 0.0299 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   51 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 187.9 |AvgR: 374.9( 390.0) 29 |Ls: 0.0249 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   52 |OrigR: 122.0 ShpR: 365.7 |X:  183.0( 261.0) AvgX100: 187.8 |AvgR: 374.7( 390.0) 30 |Ls: 0.0242 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   53 |OrigR: 137.0 ShpR: 401.2 |X:  199.0( 261.0) AvgX100: 188.0 |AvgR: 375.2( 390.0) 31 |Ls: 0.0274 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   54 |OrigR: 142.0 ShpR: 411.2 |X:  203.0( 261.0) AvgX100: 188.3 |AvgR: 375.9( 390.0) 32 |Ls: 0.0351 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   55 |OrigR: 126.0 ShpR: 376.6 |X:  188.0( 261.0) AvgX100: 188.3 |AvgR: 375.9( 390.0) 33 |Ls: 0.0287 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   56 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 188.5 |AvgR: 376.4( 390.0) 34 |Ls: 0.0320 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   57 |OrigR: 144.0 ShpR: 415.4 |X:  205.0( 261.0) AvgX100: 188.8 |AvgR: 377.1( 390.0) 35 |Ls: 0.0308 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   58 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 189.0 |AvgR: 377.7( 390.0) 36 |Ls: 0.0318 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   59 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 189.2 |AvgR: 378.2( 390.0) 37 |Ls: 0.0340 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   60 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 189.4 |AvgR: 378.6( 390.0) 38 |Ls: 0.0317 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   61 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 189.6 |AvgR: 379.1( 390.0) 39 |Ls: 0.0526 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   62 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 189.8 |AvgR: 379.6( 390.0) 40 |Ls: 0.0624 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   63 |OrigR: 143.0 ShpR: 413.3 |X:  204.0( 261.0) AvgX100: 190.0 |AvgR: 380.1( 390.0) 41 |Ls: 0.0473 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   64 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 190.2 |AvgR: 380.5( 390.0) 42 |Ls: 0.0413 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   65 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 190.3 |AvgR: 381.0( 390.0) 43 |Ls: 0.0460 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   66 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 190.5 |AvgR: 381.4( 390.0) 44 |Ls: 0.0409 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   67 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 190.7 |AvgR: 381.8( 390.0) 45 |Ls: 0.0391 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   68 |OrigR: 138.0 ShpR: 402.3 |X:  199.0( 261.0) AvgX100: 190.8 |AvgR: 382.1( 390.0) 46 |Ls: 0.0433 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   69 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 190.9 |AvgR: 382.4( 390.0) 47 |Ls: 0.0469 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   70 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 191.1 |AvgR: 382.8( 390.0) 48 |Ls: 0.0416 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   71 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 191.2 |AvgR: 383.1( 390.0) 49 |Ls: 0.0443 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   72 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 191.3 |AvgR: 383.5( 390.0) 50 |Ls: 0.0363 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   73 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 191.5 |AvgR: 383.8( 390.0) 51 |Ls: 0.0367 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   74 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 191.6 |AvgR: 384.1( 390.0) 52 |Ls: 0.0361 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   75 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 191.7 |AvgR: 384.4( 390.0) 53 |Ls: 0.0396 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   76 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 191.9 |AvgR: 384.7( 390.0) 54 |Ls: 0.0388 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   77 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 192.0 |AvgR: 385.0( 390.0) 55 |Ls: 0.0375 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   78 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 192.1 |AvgR: 385.3( 390.0) 56 |Ls: 0.0342 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   79 |OrigR: 135.0 ShpR: 396.0 |X:  196.0( 261.0) AvgX100: 192.1 |AvgR: 385.5( 390.0) 57 |Ls: 0.0286 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   80 |OrigR: 144.0 ShpR: 415.4 |X:  205.0( 261.0) AvgX100: 192.3 |AvgR: 385.8( 390.0) 58 |Ls: 0.0364 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   81 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 192.4 |AvgR: 386.1( 390.0) 59 |Ls: 0.0390 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   82 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 192.5 |AvgR: 386.4( 390.0) 60 |Ls: 0.0318 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   83 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 192.6 |AvgR: 386.6( 390.0) 61 |Ls: 0.0342 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   84 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 261.0) AvgX100: 192.7 |AvgR: 386.9( 390.0) 62 |Ls: 0.0437 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   85 |OrigR: 144.0 ShpR: 415.4 |X:  205.0( 261.0) AvgX100: 192.9 |AvgR: 387.2( 390.0) 63 |Ls: 0.0382 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   86 |OrigR: 209.0 ShpR: 551.4 |X:  271.0( 271.0) AvgX100: 193.8 |AvgR: 389.1( 390.0) 64 |Ls: 0.0395 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   87 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 271.0) AvgX100: 193.9 |AvgR: 389.3( 390.0) 65 |Ls: 0.0347 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   88 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 271.0) AvgX100: 193.9 |AvgR: 389.5( 390.0) 66 |Ls: 0.0348 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   89 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 271.0) AvgX100: 194.0 |AvgR: 389.7( 390.0) 67 |Ls: 0.0314 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   90 |OrigR: 392.0 ShpR: 933.7 |X:  457.0( 457.0) AvgX100: 196.9 |AvgR: 395.8( 395.8)  0 |Ls: 0.0492 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   91 |OrigR: 145.0 ShpR: 415.5 |X:  205.0( 457.0) AvgX100: 197.0 |AvgR: 396.0( 396.0)  0 |Ls: 0.0423 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   92 |OrigR: 116.0 ShpR: 355.1 |X:  179.0( 457.0) AvgX100: 196.8 |AvgR: 395.5( 396.0)  1 |Ls: 0.0501 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   93 |OrigR: 386.0 ShpR: 921.6 |X:  451.0( 457.0) AvgX100: 199.6 |AvgR: 401.2( 401.2)  0 |Ls: 0.0341 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   94 |OrigR: 145.0 ShpR: 415.5 |X:  205.0( 457.0) AvgX100: 199.6 |AvgR: 401.3( 401.3)  0 |Ls: 0.0294 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   95 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 457.0) AvgX100: 199.6 |AvgR: 401.4( 401.4)  0 |Ls: 0.0447 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   96 |OrigR: 145.0 ShpR: 415.5 |X:  205.0( 457.0) AvgX100: 199.7 |AvgR: 401.6( 401.6)  0 |Ls: 0.0278 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   97 |OrigR: 145.0 ShpR: 415.5 |X:  205.0( 457.0) AvgX100: 199.7 |AvgR: 401.7( 401.7)  0 |Ls: 0.0356 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   98 |OrigR: 145.0 ShpR: 415.5 |X:  205.0( 457.0) AvgX100: 199.8 |AvgR: 401.8( 401.8)  0 |Ls: 0.0465 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   99 |OrigR: 145.0 ShpR: 415.5 |X:  205.0( 457.0) AvgX100: 199.8 |AvgR: 402.0( 402.0)  0 |Ls: 0.0303 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep  100 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 457.0) AvgX100: 199.8 |AvgR: 402.0( 402.0)  0 |Ls: 0.0405 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep  101 |OrigR: 130.0 ShpR: 386.0 |X:  192.0( 457.0) AvgX100: 199.9 |AvgR: 402.2( 402.2)  0 |Ls: 0.0535 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep  102 |OrigR: 139.0 ShpR: 404.9 |X:  200.0( 457.0) AvgX100: 200.1 |AvgR: 402.5( 402.5)  0 |Ls: 0.0529 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep  103 |OrigR: 142.0 ShpR: 409.2 |X:  202.0( 457.0) AvgX100: 200.3 |AvgR: 403.0( 403.0)  0 |Ls: 0.0438 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
