Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.99 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260115-102732
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 184.0) AvgX100: 184.0 |AvgR: 368.3( 368.3)  0 |Ls: 0.0000 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   16 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 189.1 |AvgR: 378.6( 379.0)  1 |Ls: 0.0096 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   17 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 188.8 |AvgR: 378.0( 379.0)  2 |Ls: 0.0094 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   18 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 188.5 |AvgR: 377.4( 379.0)  3 |Ls: 0.0095 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   19 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 188.4 |AvgR: 377.2( 379.0)  4 |Ls: 0.0094 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   20 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 188.2 |AvgR: 376.7( 379.0)  5 |Ls: 0.0094 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   21 |OrigR: 197.0 ShpR: 524.2 |X:  261.0( 261.0) AvgX100: 191.6 |AvgR: 383.7( 383.7)  0 |Ls: 0.0094 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   22 |OrigR: 195.0 ShpR: 519.5 |X:  259.0( 261.0) AvgX100: 194.7 |AvgR: 389.9( 389.9)  0 |Ls: 0.0095 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   23 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 194.2 |AvgR: 389.0( 389.9)  1 |Ls: 0.0143 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   24 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 193.8 |AvgR: 388.1( 389.9)  2 |Ls: 0.0067 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   25 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 193.4 |AvgR: 387.3( 389.9)  3 |Ls: 0.0055 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   26 |OrigR: 122.0 ShpR: 365.7 |X:  183.0( 261.0) AvgX100: 193.0 |AvgR: 386.5( 389.9)  4 |Ls: 0.0053 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   27 |OrigR: 118.0 ShpR: 356.8 |X:  179.0( 261.0) AvgX100: 192.5 |AvgR: 385.4( 389.9)  5 |Ls: 0.0057 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   28 |OrigR: 116.0 ShpR: 354.1 |X:  178.0( 261.0) AvgX100: 192.0 |AvgR: 384.3( 389.9)  6 |Ls: 0.0061 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   29 |OrigR: 195.0 ShpR: 519.0 |X:  259.0( 261.0) AvgX100: 194.3 |AvgR: 388.9( 389.9)  7 |Ls: 0.0055 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   30 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 193.9 |AvgR: 388.2( 389.9)  8 |Ls: 0.0052 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   31 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 193.6 |AvgR: 387.6( 389.9)  9 |Ls: 0.0051 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   32 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 193.3 |AvgR: 387.0( 389.9) 10 |Ls: 0.0056 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   33 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 193.0 |AvgR: 386.4( 389.9) 11 |Ls: 0.0054 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   34 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 192.8 |AvgR: 385.9( 389.9) 12 |Ls: 0.0052 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   35 |OrigR: 126.0 ShpR: 373.1 |X:  186.0( 261.0) AvgX100: 192.6 |AvgR: 385.5( 389.9) 13 |Ls: 0.0052 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   36 |OrigR: 124.0 ShpR: 371.9 |X:  186.0( 261.0) AvgX100: 192.4 |AvgR: 385.1( 389.9) 14 |Ls: 0.0053 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   37 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 192.2 |AvgR: 384.6( 389.9) 15 |Ls: 0.0054 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   38 |OrigR: 124.0 ShpR: 371.9 |X:  186.0( 261.0) AvgX100: 192.0 |AvgR: 384.3( 389.9) 16 |Ls: 0.0054 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   39 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 191.8 |AvgR: 383.8( 389.9) 17 |Ls: 0.0048 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   40 |OrigR: 196.0 ShpR: 522.1 |X:  260.0( 261.0) AvgX100: 193.5 |AvgR: 387.3( 389.9) 18 |Ls: 0.0047 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   41 |OrigR: 126.0 ShpR: 373.1 |X:  186.0( 261.0) AvgX100: 193.3 |AvgR: 387.0( 389.9) 19 |Ls: 0.0050 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   42 |OrigR: 196.0 ShpR: 522.1 |X:  260.0( 261.0) AvgX100: 194.9 |AvgR: 390.2( 390.2)  0 |Ls: 0.0096 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   43 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 194.7 |AvgR: 389.7( 390.2)  1 |Ls: 0.0049 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   44 |OrigR: 126.0 ShpR: 374.1 |X:  187.0( 261.0) AvgX100: 194.5 |AvgR: 389.3( 390.2)  2 |Ls: 0.0044 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   45 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 194.3 |AvgR: 388.9( 390.2)  3 |Ls: 0.0043 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   46 |OrigR: 119.0 ShpR: 360.9 |X:  181.0( 261.0) AvgX100: 194.0 |AvgR: 388.3( 390.2)  4 |Ls: 0.0045 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   47 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 193.8 |AvgR: 387.9( 390.2)  5 |Ls: 0.0040 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   48 |OrigR: 126.0 ShpR: 374.1 |X:  187.0( 261.0) AvgX100: 193.6 |AvgR: 387.6( 390.2)  6 |Ls: 0.0037 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   49 |OrigR: 126.0 ShpR: 374.1 |X:  187.0( 261.0) AvgX100: 193.5 |AvgR: 387.3( 390.2)  7 |Ls: 0.0040 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   50 |OrigR: 120.0 ShpR: 363.0 |X:  182.0( 261.0) AvgX100: 193.3 |AvgR: 386.8( 390.2)  8 |Ls: 0.0041 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   51 |OrigR: 118.0 ShpR: 356.8 |X:  179.0( 261.0) AvgX100: 193.0 |AvgR: 386.2( 390.2)  9 |Ls: 0.0044 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   52 |OrigR: 196.0 ShpR: 518.6 |X:  259.0( 261.0) AvgX100: 194.3 |AvgR: 388.8( 390.2) 10 |Ls: 0.0040 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   53 |OrigR: 120.0 ShpR: 363.0 |X:  182.0( 261.0) AvgX100: 194.0 |AvgR: 388.3( 390.2) 11 |Ls: 0.0045 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   54 |OrigR: 119.0 ShpR: 358.9 |X:  180.0( 261.0) AvgX100: 193.8 |AvgR: 387.8( 390.2) 12 |Ls: 0.0040 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   55 |OrigR: 118.0 ShpR: 358.3 |X:  180.0( 261.0) AvgX100: 193.5 |AvgR: 387.2( 390.2) 13 |Ls: 0.0045 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   56 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 193.3 |AvgR: 386.8( 390.2) 14 |Ls: 0.0041 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   57 |OrigR: 126.0 ShpR: 374.1 |X:  187.0( 261.0) AvgX100: 193.2 |AvgR: 386.6( 390.2) 15 |Ls: 0.0038 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   58 |OrigR: 124.0 ShpR: 369.9 |X:  185.0( 261.0) AvgX100: 193.1 |AvgR: 386.3( 390.2) 16 |Ls: 0.0043 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   59 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 192.9 |AvgR: 386.0( 390.2) 17 |Ls: 0.0041 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   60 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 192.8 |AvgR: 385.8( 390.2) 18 |Ls: 0.0038 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   61 |OrigR: 126.0 ShpR: 374.1 |X:  187.0( 261.0) AvgX100: 192.7 |AvgR: 385.6( 390.2) 19 |Ls: 0.0138 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   62 |OrigR: 125.0 ShpR: 370.0 |X:  185.0( 261.0) AvgX100: 192.6 |AvgR: 385.4( 390.2) 20 |Ls: 0.0058 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   63 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 192.5 |AvgR: 385.1( 390.2) 21 |Ls: 0.0052 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   64 |OrigR: 124.0 ShpR: 369.9 |X:  185.0( 261.0) AvgX100: 192.4 |AvgR: 384.9( 390.2) 22 |Ls: 0.0048 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   65 |OrigR: 201.0 ShpR: 532.6 |X:  265.0( 265.0) AvgX100: 193.5 |AvgR: 387.2( 390.2) 23 |Ls: 0.0064 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   66 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 265.0) AvgX100: 193.5 |AvgR: 387.2( 390.2) 24 |Ls: 0.0084 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   67 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 265.0) AvgX100: 193.5 |AvgR: 387.3( 390.2) 25 |Ls: 0.0077 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   68 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 265.0) AvgX100: 193.5 |AvgR: 387.4( 390.2) 26 |Ls: 0.0083 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   69 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 265.0) AvgX100: 193.5 |AvgR: 387.4( 390.2) 27 |Ls: 0.0071 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   70 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 265.0) AvgX100: 193.5 |AvgR: 387.5( 390.2) 28 |Ls: 0.0076 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   71 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 265.0) AvgX100: 193.5 |AvgR: 387.5( 390.2) 29 |Ls: 0.0070 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   72 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 265.0) AvgX100: 193.6 |AvgR: 387.6( 390.2) 30 |Ls: 0.0080 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   73 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 265.0) AvgX100: 193.6 |AvgR: 387.6( 390.2) 31 |Ls: 0.0064 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   74 |OrigR: 136.0 ShpR: 399.1 |X:  198.0( 265.0) AvgX100: 193.6 |AvgR: 387.8( 390.2) 32 |Ls: 0.0065 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   75 |OrigR: 208.0 ShpR: 549.3 |X:  271.0( 271.0) AvgX100: 194.7 |AvgR: 389.9( 390.2) 33 |Ls: 0.0066 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   76 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 271.0) AvgX100: 194.6 |AvgR: 389.9( 390.2) 34 |Ls: 0.0069 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   77 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 271.0) AvgX100: 194.6 |AvgR: 390.0( 390.2) 35 |Ls: 0.0064 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   78 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 271.0) AvgX100: 194.7 |AvgR: 390.1( 390.2) 36 |Ls: 0.0073 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   79 |OrigR: 126.0 ShpR: 377.1 |X:  188.0( 271.0) AvgX100: 194.6 |AvgR: 390.0( 390.2) 37 |Ls: 0.0074 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   80 |OrigR: 126.0 ShpR: 377.1 |X:  188.0( 271.0) AvgX100: 194.5 |AvgR: 389.8( 390.2) 38 |Ls: 0.0064 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   81 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 271.0) AvgX100: 194.6 |AvgR: 390.0( 390.2) 39 |Ls: 0.0067 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   82 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 271.0) AvgX100: 194.7 |AvgR: 390.2( 390.2)  0 |Ls: 0.0080 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   83 |OrigR: 140.0 ShpR: 406.5 |X:  201.0( 271.0) AvgX100: 194.7 |AvgR: 390.4( 390.4)  0 |Ls: 0.0111 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   84 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 271.0) AvgX100: 194.8 |AvgR: 390.5( 390.5)  0 |Ls: 0.0369 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   85 |OrigR: 210.0 ShpR: 554.5 |X:  273.0( 273.0) AvgX100: 195.7 |AvgR: 392.5( 392.5)  0 |Ls: 0.0224 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   86 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 273.0) AvgX100: 195.7 |AvgR: 392.5( 392.5)  1 |Ls: 0.0122 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   87 |OrigR: 213.0 ShpR: 560.8 |X:  276.0( 276.0) AvgX100: 196.6 |AvgR: 394.4( 394.4)  0 |Ls: 0.0121 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   88 |OrigR: 140.0 ShpR: 406.0 |X:  201.0( 276.0) AvgX100: 196.7 |AvgR: 394.5( 394.5)  0 |Ls: 0.0116 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   89 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 276.0) AvgX100: 196.7 |AvgR: 394.6( 394.6)  0 |Ls: 0.0106 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   90 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 276.0) AvgX100: 196.8 |AvgR: 394.7( 394.7)  0 |Ls: 0.0111 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   91 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 276.0) AvgX100: 196.8 |AvgR: 394.8( 394.8)  0 |Ls: 0.0108 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   92 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 276.0) AvgX100: 196.8 |AvgR: 394.8( 394.8)  1 |Ls: 0.0102 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   93 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 276.0) AvgX100: 196.8 |AvgR: 394.9( 394.9)  0 |Ls: 0.0107 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   94 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 276.0) AvgX100: 196.8 |AvgR: 395.0( 395.0)  0 |Ls: 0.0100 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   95 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 276.0) AvgX100: 196.9 |AvgR: 395.1( 395.1)  0 |Ls: 0.0098 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   96 |OrigR: 213.0 ShpR: 560.8 |X:  276.0( 276.0) AvgX100: 197.7 |AvgR: 396.8( 396.8)  0 |Ls: 0.0091 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   97 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 276.0) AvgX100: 197.6 |AvgR: 396.8( 396.8)  1 |Ls: 0.0085 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   98 |OrigR: 733.0 ShpR:1639.8 |X:  812.0( 812.0) AvgX100: 203.9 |AvgR: 409.5( 409.5)  0 |Ls: 0.0095 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   99 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 812.0) AvgX100: 203.9 |AvgR: 409.4( 409.5)  1 |Ls: 0.0100 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep  100 |OrigR: 206.0 ShpR: 545.6 |X:  270.0( 812.0) AvgX100: 204.5 |AvgR: 410.8( 410.8)  0 |Ls: 0.0151 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep  101 |OrigR: 372.0 ShpR: 888.7 |X:  445.0( 812.0) AvgX100: 207.2 |AvgR: 416.0( 416.0)  0 |Ls: 0.0207 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep  102 |OrigR: 209.0 ShpR: 550.9 |X:  272.0( 812.0) AvgX100: 208.0 |AvgR: 417.8( 417.8)  0 |Ls: 0.0225 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep  103 |OrigR: 141.0 ShpR: 408.6 |X:  202.0( 812.0) AvgX100: 208.2 |AvgR: 418.2( 418.2)  0 |Ls: 0.0233 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
